page,base,target,last_price,volume_usd,bid_ask_spread,trust_score,market,coin_id,target_coin_id,trading_pair,Volume,liquidity_score,trust_grade
11,WETH,USDC,4718.2572565314,237395434.0,0.602725,,Uniswap V3 (Ethereum),weth,usd-coin,WETH/USDC,"$237,395,434",100.0,A
11,WETH,USDT,4724.1541426196,179891695.0,0.602738,,Uniswap V3 (Ethereum),weth,tether,WETH/USDT,"$179,891,695",75.78,B
11,USDC,WETH,0.0002119190601,130939416.0,0.602747,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$130,939,416",55.16,B
12,USDC,WETH,0.0002119290903,130817746.0,0.602747,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$130,817,746",55.11,B
1,wstETH,WETH,1.2085494038,73309305.0,0.602712,green,Uniswap V3 (Ethereum),wrapped-steth,weth,wstETH/WETH,"$73,309,305",30.88,C
12,0X50327C...,WETH,7.64511739e-05,62913924.0,0.602724,,Uniswap V3 (Ethereum),wrapped-tron,weth,0X50327C.../WETH,"$62,913,924",26.5,C
1,0X50327C...,WETH,7.655719829e-05,62633283.0,0.602724,green,Uniswap V3 (Ethereum),wrapped-tron,weth,0X50327C.../WETH,"$62,633,283",26.38,C
1,WBTC,USDC,115454.373768393,50530602.0,0.602716,green,Uniswap V3 (Ethereum),wrapped-bitcoin,usd-coin,WBTC/USDC,"$50,530,602",21.29,C
1,cbBTC,WBTC,0.9997646137,49018974.0,0.602715,green,Uniswap V3 (Ethereum),coinbase-wrapped-btc,wrapped-bitcoin,cbBTC/WBTC,"$49,018,974",20.65,C
1,WBTC,USDT,115723.495116792,48691914.0,0.602731,green,Uniswap V3 (Ethereum),wrapped-bitcoin,tether,WBTC/USDT,"$48,691,914",20.51,C
11,USDC,USDT,1.0003574138,45168749.0,0.602734,green,Uniswap V3 (Ethereum),usd-coin,tether,USDC/USDT,"$45,168,749",19.03,D
1,USDC,USDT,1.0001576206,45167570.0,0.602734,green,Uniswap V3 (Ethereum),usd-coin,tether,USDC/USDT,"$45,167,570",19.03,D
11,WBTC,WETH,24.6061865957,35387840.0,0.602722,,Uniswap V3 (Ethereum),wrapped-bitcoin,weth,WBTC/WETH,"$35,387,840",14.91,D
1,LINK,WETH,0.005459844079,31201615.0,0.60272,green,Uniswap V3 (Ethereum),chainlink,weth,LINK/WETH,"$31,201,615",13.14,D
11,USDC,WETH,0.0002128921626,25596731.0,0.602721,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$25,596,731",10.78,D
12,USDC,WETH,0.0002128921626,25572730.0,0.602721,,Uniswap V3 (Ethereum),usd-coin,weth,USDC/WETH,"$25,572,730",10.77,D
1,DAI,USDT,1.0001944898,19878035.0,0.602859,green,Uniswap V3 (Ethereum),dai,tether,DAI/USDT,"$19,878,035",8.37,D
11,DAI,USDC,0.9999754947,17220785.0,0.602722,,Uniswap V3 (Ethereum),dai,usd-coin,DAI/USDC,"$17,220,785",7.25,D
1,WBTC,USDT,115931.475772281,14191803.0,0.602749,green,Uniswap V3 (Ethereum),wrapped-bitcoin,tether,WBTC/USDT,"$14,191,803",5.98,D
1,weETH,WETH,1.0721077663,13746685.0,0.602774,green,Uniswap V3 (Ethereum),wrapped-eeth,weth,weETH/WETH,"$13,746,685",5.79,D
1,USDe,USDT,1.0007703936,13585626.0,0.602823,green,Uniswap V3 (Ethereum),ethena-usde,tether,USDe/USDT,"$13,585,626",5.72,D
11,USDe,USDC,1.0006674507,11834832.0,0.602799,green,Uniswap V3 (Ethereum),ethena-usde,usd-coin,USDe/USDC,"$11,834,832",4.99,D
1,WBTC,USDC,115683.89814283,11276449.0,0.602817,green,Uniswap V3 (Ethereum),wrapped-bitcoin,usd-coin,WBTC/USDC,"$11,276,449",4.75,D
1,AAVE,WETH,0.07230151017,11240312.0,0.602728,green,Uniswap V3 (Ethereum),aave,weth,AAVE/WETH,"$11,240,312",4.73,D
1,wstETH,rsETH,1.1536509068,8337894.0,0.602726,green,Uniswap V3 (Ethereum),wrapped-steth,kelp-dao-restaked-eth,wstETH/rsETH,"$8,337,894",3.51,D
11,SEI,USDC,0.3177822399,7668302.0,0.602747,green,Uniswap V3 (Ethereum),layerzero-bridged-sei,usd-coin,SEI/USDC,"$7,668,302",3.23,D
12,SEI,USDC,0.3177822399,7658596.0,0.602747,,Uniswap V3 (Ethereum),layerzero-bridged-sei,usd-coin,SEI/USDC,"$7,658,596",3.23,D
1,ENA,sENA,0.9857876796,4588325.0,0.602957,green,Uniswap V3 (Ethereum),ethena,ethena-staked-ena,ENA/sENA,"$4,588,325",1.93,D
1,USD1,USDT,0.9999883971,4584575.0,0.602847,green,Uniswap V3 (Ethereum),usd1-wlfi,tether,USD1/USDT,"$4,584,575",1.93,D
1,sUSDe,USDT,1.1913616613,4199603.0,0.605004,green,Uniswap V3 (Ethereum),ethena-staked-usde,tether,sUSDe/USDT,"$4,199,603",1.77,D
11,UNI,WETH,0.00236730089,3919973.0,0.602716,,Uniswap V3 (Ethereum),uniswap,weth,UNI/WETH,"$3,919,973",1.65,D
11,PAXG,USDC,3356.13993921,3457300.0,0.602846,green,Uniswap V3 (Ethereum),pax-gold,usd-coin,PAXG/USDC,"$3,457,300",1.46,D
12,PAXG,USDC,3356.13993921,3436638.0,0.602846,,Uniswap V3 (Ethereum),pax-gold,usd-coin,PAXG/USDC,"$3,436,638",1.45,D
1,PAXG,USDC,3356.13993921,3435937.0,0.602846,green,Uniswap V3 (Ethereum),pax-gold,usd-coin,PAXG/USDC,"$3,435,937",1.45,D
1,AAVE,USDC,342.1863947447,3313706.0,0.603254,green,Uniswap V3 (Ethereum),aave,usd-coin,AAVE/USDC,"$3,313,706",1.4,D
12,USD1,USDC,0.9998534127,3178169.0,0.602781,,Uniswap V3 (Ethereum),usd1-wlfi,usd-coin,USD1/USDC,"$3,178,169",1.34,D
11,USD1,USDC,0.9996558316,3176666.0,0.602781,,Uniswap V3 (Ethereum),usd1-wlfi,usd-coin,USD1/USDC,"$3,176,666",1.34,D
12,wM,USDC,1.0001748175,3156236.0,0.602906,,Uniswap V3 (Ethereum),wrappedm-by-m0,usd-coin,wM/USDC,"$3,156,236",1.33,D
11,wM,USDC,1.0001748175,3156204.0,0.602906,green,Uniswap V3 (Ethereum),wrappedm-by-m0,usd-coin,wM/USDC,"$3,156,204",1.33,D
1,USDf,USDT,0.9998879244,3155077.0,0.602731,green,Uniswap V3 (Ethereum),falcon-finance,tether,USDf/USDT,"$3,155,077",1.33,D
1,ADO,WETH,7.093243598e-06,3069103.0,0.60283,green,Uniswap V3 (Ethereum),ado-network,weth,ADO/WETH,"$3,069,103",1.29,D
1,LBTC,WBTC,0.9997143362,3044458.0,0.602793,green,Uniswap V3 (Ethereum),lombard-staked-btc,wrapped-bitcoin,LBTC/WBTC,"$3,044,458",1.28,D
1,meth,WETH,1.0687455262,2660945.0,0.602756,green,Uniswap V3 (Ethereum),mantle-staked-ether,weth,meth/WETH,"$2,660,945",1.12,D
11,0XBE0ED4...,WETH,7.433253419e-06,2444791.0,0.602811,green,Uniswap V3 (Ethereum),aethir,weth,0XBE0ED4.../WETH,"$2,444,791",1.03,D
1,0XBE0ED4...,WETH,7.478059032e-06,2429410.0,0.602811,green,Uniswap V3 (Ethereum),aethir,weth,0XBE0ED4.../WETH,"$2,429,410",1.02,D
1,SOL,WETH,0.04294367238,2392320.0,0.602777,green,Uniswap V3 (Ethereum),sol-wormhole,weth,SOL/WETH,"$2,392,320",1.01,D
1,AAVE,UNI,30.5307789176,2369214.0,0.60284,green,Uniswap V3 (Ethereum),aave,uniswap,AAVE/UNI,"$2,369,214",1.0,D
1,cbETH,WETH,1.0980378966,2047990.0,0.602944,green,Uniswap V3 (Ethereum),coinbase-wrapped-staked-eth,weth,cbETH/WETH,"$2,047,990",0.86,D
1,okb,USDT,215.7497827788,1538485.0,0.603939,green,Uniswap V3 (Ethereum),okb,tether,okb/USDT,"$1,538,485",0.65,D
1,MNT,USDe,1.2662318844,1393167.0,0.602792,green,Uniswap V3 (Ethereum),mantle,ethena-usde,MNT/USDe,"$1,393,167",0.59,D
1,ondo,WETH,0.0002130701464,1340168.0,0.602789,green,Uniswap V3 (Ethereum),ondo-finance,weth,ondo/WETH,"$1,340,168",0.56,D
1,PROMPT,USDC,0.1741835322,1267771.0,0.602979,green,Uniswap V3 (Ethereum),wayfinder,usd-coin,PROMPT/USDC,"$1,267,771",0.53,D
11,wTAO,WETH,0.07685990032,1221489.0,0.602837,,Uniswap V3 (Ethereum),wrapped-tao,weth,wTAO/WETH,"$1,221,489",0.51,D
1,LINK,USDC,25.7005522076,1140521.0,0.603363,green,Uniswap V3 (Ethereum),chainlink,usd-coin,LINK/USDC,"$1,140,521",0.48,D
12,DAI,WETH,0.0002120721582,1095207.0,0.602864,,Uniswap V3 (Ethereum),dai,weth,DAI/WETH,"$1,095,207",0.46,D
11,DAI,WETH,0.0002118925227,1095179.0,0.602864,green,Uniswap V3 (Ethereum),dai,weth,DAI/WETH,"$1,095,179",0.46,D
1,PENDLE,WETH,0.001230102472,1054542.0,0.602837,green,Uniswap V3 (Ethereum),pendle,weth,PENDLE/WETH,"$1,054,542",0.44,D
3,EIGEN,WETH,0.0003031175411,1028227.0,0.602724,yellow,Uniswap V3 (Ethereum),eigenlayer,weth,EIGEN/WETH,"$1,028,227",0.43,D
11,DAI,WETH,0.0002128462117,992340.0,0.602793,,Uniswap V3 (Ethereum),dai,weth,DAI/WETH,"$992,340",0.42,D
12,DAI,WETH,0.0002128462117,991410.0,0.602793,,Uniswap V3 (Ethereum),dai,weth,DAI/WETH,"$991,410",0.42,D
1,WLD,WETH,0.0002162559434,990937.0,0.602752,green,Uniswap V3 (Ethereum),worldcoin-wld,weth,WLD/WETH,"$990,937",0.42,D
1,0X0F8100...,USDC,0.2215123366,961649.0,0.603005,green,Uniswap V3 (Ethereum),dolomite,usd-coin,0X0F8100.../USDC,"$961,649",0.41,D
1,RLUSD,USDC,0.999851116,941748.0,0.602834,green,Uniswap V3 (Ethereum),ripple-usd,usd-coin,RLUSD/USDC,"$941,748",0.4,D
1,CRV,USDT,0.8940230198,938760.0,0.603018,green,Uniswap V3 (Ethereum),curve-dao-token,tether,CRV/USDT,"$938,760",0.4,D
1,ETHx,wstETH,0.8810241826,927102.0,0.60288,green,Uniswap V3 (Ethereum),stader-ethx,wrapped-steth,ETHx/wstETH,"$927,102",0.39,D
1,thBILL,USDC,1.0020656218,852550.0,0.603356,green,Uniswap V3 (Ethereum),theo-short-duration-us-treasury-fund,usd-coin,thBILL/USDC,"$852,550",0.36,D
12,wTAO,WETH,0.07743338891,851485.0,0.602934,,Uniswap V3 (Ethereum),wrapped-tao,weth,wTAO/WETH,"$851,485",0.36,D
1,PYUSD,USDC,0.9996860833,818686.0,0.60378,green,Uniswap V3 (Ethereum),paypal-usd,usd-coin,PYUSD/USDC,"$818,686",0.34,D
1,ENS,WETH,0.00569250605,811434.0,0.602782,green,Uniswap V3 (Ethereum),ethereum-name-service,weth,ENS/WETH,"$811,434",0.34,D
3,LBTC,WBTC,0.9993656312,809466.0,0.602723,yellow,Uniswap V3 (Ethereum),lombard-staked-btc,wrapped-bitcoin,LBTC/WBTC,"$809,466",0.34,D
1,GHO,USDC,0.9985902072,769338.0,0.603292,green,Uniswap V3 (Ethereum),gho,usd-coin,GHO/USDC,"$769,338",0.32,D
1,SKY,MKR,4.16712664e-05,762810.0,0.603839,green,Uniswap V3 (Ethereum),sky,maker,SKY/MKR,"$762,810",0.32,D
1,USDC,SPK,13.9654552827,759605.0,0.603001,green,Uniswap V3 (Ethereum),usd-coin,spark-2,USDC/SPK,"$759,605",0.32,D
3,CULT,WETH,3.255145587e-07,721501.0,0.602743,yellow,Uniswap V3 (Ethereum),milady-cult-coin,weth,CULT/WETH,"$721,501",0.3,D
1,HAIR,BIO,403.7468406674,705914.0,0.602874,green,Uniswap V3 (Ethereum),hairdao,bio-protocol,HAIR/BIO,"$705,914",0.3,D
12,HAIR,BIO,403.7468406674,695977.0,0.602874,,Uniswap V3 (Ethereum),hairdao,bio-protocol,HAIR/BIO,"$695,977",0.29,D
1,EMP,WETH,0.02412132329,687271.0,0.602886,green,Uniswap V3 (Ethereum),empyreal,weth,EMP/WETH,"$687,271",0.29,D
11,ARB,WETH,0.0001246372147,662130.0,0.603761,,Uniswap V3 (Ethereum),arbitrum,weth,ARB/WETH,"$662,130",0.28,D
1,UNI,USDT,11.1403279769,659538.0,0.602804,green,Uniswap V3 (Ethereum),uniswap,tether,UNI/USDT,"$659,538",0.28,D
1,cmETH,meth,0.9996766685,638072.0,0.602794,green,Uniswap V3 (Ethereum),mantle-restaked-eth,mantle-staked-ether,cmETH/meth,"$638,072",0.27,D
1,SPX,WETH,0.0003021627429,635767.0,0.60294,green,Uniswap V3 (Ethereum),spx6900,weth,SPX/WETH,"$635,767",0.27,D
1,VITA,WETH,0.0004296330721,622136.0,0.60325,green,Uniswap V3 (Ethereum),vitadao,weth,VITA/WETH,"$622,136",0.26,D
1,CPOOL,USDC,0.1944662911,613569.0,0.603439,green,Uniswap V3 (Ethereum),clearpool,usd-coin,CPOOL/USDC,"$613,569",0.26,D
1,xaut,USDT,3372.9473505801,610297.0,0.602855,green,Uniswap V3 (Ethereum),tether-gold,tether,xaut/USDT,"$610,297",0.26,D
11,ton,WETH,0.0007197001808,589635.0,0.602829,,Uniswap V3 (Ethereum),the-open-network,weth,ton/WETH,"$589,635",0.25,D
11,USDC,aevo,9.7745665709,575131.0,0.602915,,Uniswap V3 (Ethereum),usd-coin,aevo-exchange,USDC/aevo,"$575,131",0.24,D
1,USDC,aevo,9.7745665709,574759.0,0.602915,green,Uniswap V3 (Ethereum),usd-coin,aevo-exchange,USDC/aevo,"$574,759",0.24,D
1,EUL,WETH,0.002235865329,529739.0,0.602751,green,Uniswap V3 (Ethereum),euler,weth,EUL/WETH,"$529,739",0.22,D
3,$MBG,USDT,2.2977747002,523973.0,0.602734,yellow,Uniswap V3 (Ethereum),mbg-by-multibank-group,tether,$MBG/USDT,"$523,973",0.22,D
1,RLB,WETH,1.25939142e-05,516512.0,0.602937,green,Uniswap V3 (Ethereum),rollbit-coin,weth,RLB/WETH,"$516,512",0.22,D
1,VITA,BIO,8.7581290197,515020.0,0.602891,green,Uniswap V3 (Ethereum),vitadao,bio-protocol,VITA/BIO,"$515,020",0.22,D
1,HAIR,WETH,0.02053495962,510997.0,0.602999,green,Uniswap V3 (Ethereum),hairdao,weth,HAIR/WETH,"$510,997",0.22,D
1,PYUSD,USDT,0.9999684537,469364.0,0.611944,green,Uniswap V3 (Ethereum),paypal-usd,tether,PYUSD/USDT,"$469,364",0.2,D
11,USD1,WETH,0.0002129478593,468524.0,0.602886,,Uniswap V3 (Ethereum),usd1-wlfi,weth,USD1/WETH,"$468,524",0.2,D
1,xaut,WBTC,0.02908367287,457704.0,0.602773,green,Uniswap V3 (Ethereum),tether-gold,wrapped-bitcoin,xaut/WBTC,"$457,704",0.19,D
3,IMX,WETH,0.0001277503973,428733.0,0.60312,yellow,Uniswap V3 (Ethereum),immutable-x,weth,IMX/WETH,"$428,733",0.18,D
3,USDA,EURA,0.8485898349,422424.0,0.602737,yellow,Uniswap V3 (Ethereum),angle-usd,ageur,USDA/EURA,"$422,424",0.18,D
1,cyber,USDC,2.3065480209,375434.0,0.604179,green,Uniswap V3 (Ethereum),cyberconnect,usd-coin,cyber/USDC,"$375,434",0.16,D
3,0XBC3966...,WETH,6.211797034e-05,373409.0,0.602754,yellow,Uniswap V3 (Ethereum),perpetual-protocol,weth,0XBC3966.../WETH,"$373,409",0.16,D
1,QNT,WETH,0.02309037817,364190.0,0.603136,green,Uniswap V3 (Ethereum),quant-network,weth,QNT/WETH,"$364,190",0.15,D
